,CLIENTNUM,Categoria,Idade,Sexo,Dependentes,Educação,Estado Civil,Faixa Salarial Anual,Categoria Cartão,Meses como Cliente,Produtos Contratados,Inatividade 12m,Contatos 12m,Limite,Limite Consumido,Limite Disponível,Mudanças Transacoes_Q4_Q1,Valor Transacoes 12m,Qtde Transacoes 12m,Mudança Qtde Transações_Q4_Q1,Taxa de Utilização Cartão
4196,709101258,Cancelado,41,F,2,Ensino Médio,Divorciado,Less than $40K,Blue,28,4,2,2,1478.0,524,954.0,751.0,2180,46,643.0,355.0
4198,721427358,Cancelado,47,M,4,Não informado,Divorciado,$80K - $120K,Blue,28,6,1,3,8757.0,0,8757.0,507.0,2108,47,516.0,0.0
4202,709338633,Cancelado,56,F,1,Ensino Superior,Solteiro,$40K - $60K,Blue,37,2,4,3,2339.0,0,2339.0,493.0,1542,45,607.0,0.0
4207,711245433,Cancelado,50,F,4,Ensino Superior,Solteiro,Não informado,Blue,41,5,3,3,2509.0,0,2509.0,702.0,2281,41,367.0,0.0
4217,717195933,Cancelado,42,M,3,Ensino Superior,Casado,$60K - $80K,Blue,30,2,2,3,5298.0,0,5298.0,857.0,2431,37,542.0,0.0
4224,708801108,Cancelado,57,F,3,Sem ensino formal,Solteiro,Less than $40K,Blue,51,3,0,3,1438.3,0,1438.3,429.0,2113,38,267.0,0.0
4233,789382758,Cancelado,54,M,3,Ensino Superior,Solteiro,$40K - $60K,Blue,44,6,3,3,5501.0,0,5501.0,519.0,2050,51,821.0,0.0
4237,721437333,Cancelado,46,M,2,Ensino Superior,Solteiro,$80K - $120K,Blue,36,2,2,2,5054.0,2517,2537.0,605.0,2027,39,393.0,498.0
4246,711626658,Cancelado,62,F,1,Ensino Médio,Solteiro,Less than $40K,Blue,36,2,3,4,1930.0,0,1930.0,331.0,1971,45,0.25,0.0
4249,717793983,Cancelado,55,M,3,Ensino Superior,Solteiro,$40K - $60K,Silver,45,2,3,1,18128.0,0,18128.0,0.71,2503,49,885.0,0.0
4255,714119283,Cancelado,42,F,2,Não informado,Solteiro,$40K - $60K,Blue,34,3,3,3,2516.0,0,2516.0,0.53,2257,51,545.0,0.0
4262,799239033,Cancelado,53,F,3,Ensino Médio,Solteiro,$40K - $60K,Blue,47,1,3,4,1714.0,0,1714.0,661.0,2279,46,533.0,0.0
4267,814483608,Cancelado,47,F,4,Ensino Superior,Divorciado,Less than $40K,Blue,42,1,3,3,5798.0,2517,3281.0,0.58,1860,43,433.0,434.0
4270,715514133,Cancelado,44,F,4,Ensino Superior,Casado,Less than $40K,Blue,31,3,3,4,2184.0,0,2184.0,671.0,1973,42,556.0,0.0
4272,794707083,Cancelado,50,M,2,Ensino Superior Incompleto,Solteiro,$80K - $120K,Blue,44,5,2,4,3495.0,0,3495.0,639.0,2131,41,464.0,0.0
4273,805313808,Cancelado,52,F,3,Ensino Médio,Casado,$40K - $60K,Blue,47,2,2,3,8018.0,134,7884.0,717.0,2409,38,0.31,17.0
4274,772922883,Cancelado,41,M,3,Não informado,Casado,$80K - $120K,Blue,22,3,3,4,20543.0,0,20543.0,547.0,1874,42,615.0,0.0
4282,713333433,Cancelado,49,M,3,Sem ensino formal,Não informado,$60K - $80K,Blue,41,3,4,4,18075.0,0,18075.0,531.0,1477,30,0.5,0.0
4286,787921383,Cancelado,53,M,0,Ensino Médio,Solteiro,$120K +,Silver,44,2,4,4,34516.0,2297,32219.0,416.0,1461,43,536.0,67.0
4298,807584958,Cancelado,50,M,3,Sem ensino formal,Casado,$60K - $80K,Blue,45,2,2,5,21096.0,0,21096.0,637.0,1882,39,345.0,0.0
4302,715405758,Cancelado,50,F,1,Ensino Médio,Solteiro,Não informado,Blue,42,5,0,4,10057.0,0,10057.0,792.0,2383,42,448.0,0.0
4325,718515483,Cancelado,64,M,0,Ensino Superior,Solteiro,Less than $40K,Blue,52,2,3,5,3570.0,2517,1053.0,0.69,3289,47,958.0,705.0
4335,715664808,Cancelado,43,M,2,Ensino Superior,Solteiro,$80K - $120K,Blue,30,3,3,3,34516.0,0,34516.0,688.0,2427,51,645.0,0.0
4339,720551733,Cancelado,46,F,4,Doutorado,Casado,Não informado,Blue,26,3,3,6,15195.0,0,15195.0,726.0,2631,41,0.64,0.0
4341,710533233,Cancelado,38,F,1,Ensino Superior,Casado,Less than $40K,Blue,29,3,3,4,1438.3,0,1438.3,508.0,2139,47,567.0,0.0
4343,720197058,Cancelado,47,F,3,Ensino Superior,Não informado,Não informado,Blue,33,1,3,4,3443.0,0,3443.0,832.0,2505,45,452.0,0.0
4344,716317458,Cancelado,51,F,2,Post-Ensino Superior,Solteiro,Less than $40K,Blue,36,3,3,3,4281.0,0,4281.0,447.0,1723,44,375.0,0.0
4358,717035283,Cancelado,46,M,1,Ensino Superior,Solteiro,$60K - $80K,Blue,37,2,3,4,2445.0,848,1597.0,771.0,2216,39,0.56,347.0
4362,718110858,Cancelado,42,M,4,Não informado,Casado,$40K - $60K,Blue,36,2,3,5,1606.0,0,1606.0,0.87,2628,41,0.64,0.0
4366,803113383,Cancelado,55,F,1,Sem ensino formal,Solteiro,Less than $40K,Blue,49,3,4,3,3292.0,0,3292.0,482.0,2222,54,636.0,0.0
4367,721273008,Cancelado,54,F,1,Ensino Superior Incompleto,Não informado,Less than $40K,Silver,43,6,3,4,10797.0,1252,9545.0,489.0,1739,38,226.0,116.0
4372,820282383,Cancelado,45,F,2,Ensino Superior,Casado,Less than $40K,Blue,40,6,3,3,5848.0,2517,3331.0,561.0,2000,32,0.28,0.43
4382,712693908,Cancelado,43,M,3,Ensino Superior,Casado,$120K +,Blue,31,2,4,1,13883.0,783,13100.0,749.0,1871,32,684.0,56.0
4387,708642708,Cancelado,40,F,2,Sem ensino formal,Casado,Não informado,Blue,36,3,2,3,13019.0,0,13019.0,487.0,1484,33,435.0,0.0
4388,811475733,Cancelado,53,F,1,Ensino Superior Incompleto,Casado,$40K - $60K,Blue,48,2,2,3,3339.0,0,3339.0,694.0,2432,48,0.6,0.0
4393,713788083,Cancelado,28,F,1,Ensino Superior,Solteiro,Less than $40K,Blue,36,4,2,5,1624.0,0,1624.0,299.0,1897,35,0.25,0.0
4402,780067158,Cancelado,51,F,2,Sem ensino formal,Solteiro,Less than $40K,Blue,36,2,3,3,1746.0,1107,639.0,539.0,1907,47,621.0,634.0
4406,809599158,Cancelado,48,M,4,Sem ensino formal,Solteiro,$80K - $120K,Silver,43,2,3,4,34516.0,0,34516.0,671.0,1626,28,0.4,0.0
4414,709798908,Cancelado,45,F,4,Não informado,Solteiro,Less than $40K,Blue,32,3,3,4,2858.0,0,2858.0,1058.0,2611,43,483.0,0.0
4417,708084558,Cancelado,46,M,3,Doutorado,Divorciado,$80K - $120K,Blue,38,6,3,3,8258.0,1771,6487.0,0.0,1447,23,0.0,214.0
4420,718711158,Cancelado,52,M,3,Ensino Superior,Casado,$120K +,Blue,36,1,2,3,3841.0,2517,1324.0,841.0,2680,51,545.0,655.0
4424,709143183,Cancelado,52,F,2,Doutorado,Casado,$40K - $60K,Blue,43,3,2,4,1822.0,1605,217.0,756.0,2538,39,696.0,881.0
4429,821759658,Cancelado,41,F,4,Ensino Médio,Divorciado,$40K - $60K,Blue,37,3,2,3,4650.0,204,4446.0,685.0,2014,54,0.8,44.0
4435,712783083,Cancelado,48,F,4,Ensino Médio,Casado,Less than $40K,Blue,37,1,2,3,3607.0,0,3607.0,504.0,2013,35,458.0,0.0
4438,821749608,Cancelado,41,M,3,Ensino Superior,Solteiro,$80K - $120K,Blue,37,3,3,3,19402.0,0,19402.0,0.58,1937,51,594.0,0.0
4441,826261008,Cancelado,48,F,3,Ensino Superior,Não informado,Less than $40K,Blue,44,3,3,2,1438.3,0,1438.3,736.0,2054,46,586.0,0.0
4443,709444983,Cancelado,38,F,3,Sem ensino formal,Solteiro,$40K - $60K,Blue,30,3,2,3,2435.0,2432,3.0,0.12,1460,32,103.0,999.0
4445,769575783,Cancelado,49,F,3,Ensino Superior Incompleto,Casado,Less than $40K,Blue,41,3,3,3,1603.0,749,854.0,733.0,2644,43,483.0,467.0
4447,709563258,Cancelado,50,F,2,Sem ensino formal,Solteiro,Não informado,Blue,41,2,3,2,2751.0,2253,498.0,497.0,2108,40,481.0,819.0
4451,712257258,Cancelado,50,F,1,Ensino Médio,Solteiro,Less than $40K,Blue,36,4,2,5,1457.0,0,1457.0,493.0,1441,39,393.0,0.0
4467,708916083,Cancelado,49,F,0,Doutorado,Não informado,Less than $40K,Blue,37,5,2,3,1749.0,0,1749.0,1006.0,2510,38,407.0,0.0
4474,778364583,Cancelado,45,F,2,Ensino Superior,Casado,Less than $40K,Blue,25,3,2,3,5911.0,916,4995.0,471.0,1656,31,722.0,155.0
4483,717308433,Cancelado,49,M,5,Sem ensino formal,Não informado,$60K - $80K,Blue,43,3,3,3,1960.0,0,1960.0,493.0,2253,39,345.0,0.0
4486,713796033,Cancelado,47,M,2,Ensino Superior,Casado,$40K - $60K,Blue,42,6,3,3,4738.0,0,4738.0,641.0,1900,36,0.5,0.0
4487,710812533,Cancelado,46,F,3,Ensino Médio,Solteiro,Não informado,Silver,36,4,2,3,34516.0,154,34362.0,602.0,1987,46,586.0,4.0
4489,714864333,Cancelado,43,M,2,Ensino Superior Incompleto,Divorciado,$120K +,Blue,37,4,1,2,34516.0,0,34516.0,536.0,1370,38,357.0,0.0
4493,720810783,Cancelado,54,F,2,Ensino Superior,Casado,Não informado,Blue,44,2,3,3,3781.0,1692,2089.0,791.0,2310,43,0.72,448.0
4496,715987758,Cancelado,49,M,3,Ensino Superior,Solteiro,$80K - $120K,Blue,36,3,2,1,3261.0,0,3261.0,1012.0,3081,50,667.0,0.0
4505,713388108,Cancelado,62,F,0,Ensino Médio,Não informado,Less than $40K,Blue,51,4,2,3,5210.0,0,5210.0,0.64,2162,36,161.0,0.0
4510,719917233,Cancelado,49,M,3,Post-Ensino Superior,Casado,$80K - $120K,Blue,36,3,3,2,13382.0,1159,12223.0,404.0,1828,45,0.5,87.0
4511,717103758,Cancelado,63,M,0,Ensino Superior,Solteiro,Não informado,Blue,55,5,0,2,18550.0,0,18550.0,908.0,2616,42,826.0,0.0
4513,721365033,Cancelado,37,M,3,Sem ensino formal,Solteiro,$40K - $60K,Blue,36,3,2,4,1696.0,0,1696.0,857.0,2095,43,536.0,0.0
4521,810974958,Cancelado,51,M,2,Ensino Médio,Casado,$60K - $80K,Blue,46,5,3,2,4123.0,1760,2363.0,869.0,2447,40,429.0,427.0
4523,712267983,Cancelado,57,F,0,Ensino Superior,Solteiro,Less than $40K,Blue,45,4,3,3,3023.0,2517,506.0,646.0,2477,42,615.0,833.0
4525,718250883,Cancelado,59,F,2,Ensino Médio,Casado,Não informado,Blue,51,3,3,3,3875.0,1397,2478.0,573.0,2312,49,581.0,361.0
4527,802243458,Cancelado,48,M,2,Doutorado,Solteiro,$40K - $60K,Blue,42,6,3,2,2760.0,0,2760.0,576.0,1759,34,214.0,0.0
4536,720330558,Cancelado,44,M,3,Ensino Superior,Casado,$80K - $120K,Blue,25,5,2,3,25256.0,966,24290.0,488.0,2048,40,333.0,38.0
4537,720784833,Cancelado,48,F,3,Ensino Superior,Solteiro,Não informado,Blue,36,3,3,1,1630.0,1243,387.0,0.4,1884,43,303.0,763.0
4540,721448283,Cancelado,39,F,1,Ensino Superior,Solteiro,Less than $40K,Blue,26,3,3,1,1876.0,1536,340.0,712.0,2579,47,469.0,819.0
4541,710552733,Cancelado,42,M,5,Não informado,Casado,$60K - $80K,Blue,36,2,3,2,4963.0,0,4963.0,637.0,2335,40,429.0,0.0
4561,714384783,Cancelado,59,F,1,Ensino Superior,Casado,Less than $40K,Blue,36,2,3,3,2468.0,0,2468.0,0.5,2017,37,762.0,0.0
4562,713847858,Cancelado,49,F,3,Ensino Superior,Divorciado,Less than $40K,Blue,36,3,3,3,1438.3,0,1438.3,409.0,1849,43,536.0,0.0
4567,810875958,Cancelado,51,F,3,Ensino Superior,Casado,Less than $40K,Blue,46,1,4,3,2016.0,395,1621.0,711.0,2473,44,571.0,196.0
4569,718766058,Cancelado,56,M,2,Ensino Superior,Solteiro,$80K - $120K,Blue,36,1,2,2,1438.3,0,1438.3,0.65,2123,37,542.0,0.0
4577,709309308,Cancelado,50,M,3,Ensino Superior Incompleto,Não informado,$80K - $120K,Blue,37,1,3,2,27186.0,0,27186.0,504.0,1704,34,478.0,0.0
4581,711721458,Cancelado,50,F,2,Ensino Superior,Não informado,Less than $40K,Blue,36,5,2,2,1438.3,0,1438.3,658.0,2329,43,593.0,0.0
4584,708798483,Cancelado,37,F,3,Não informado,Solteiro,Não informado,Blue,24,2,3,2,2054.0,0,2054.0,0.87,2567,43,593.0,0.0
4585,708501783,Cancelado,43,M,2,Ensino Médio,Casado,$120K +,Blue,36,6,2,4,34516.0,1477,33039.0,324.0,1868,40,212.0,43.0
4593,719328858,Cancelado,56,M,4,Ensino Médio,Casado,$60K - $80K,Blue,43,6,2,6,4535.0,0,4535.0,831.0,2342,40,0.6,0.0
4595,803800533,Cancelado,39,M,1,Não informado,Solteiro,$40K - $60K,Blue,33,3,3,4,2088.0,975,1113.0,1144.0,2866,59,735.0,467.0
4603,718352358,Cancelado,49,F,3,Post-Ensino Superior,Casado,Less than $40K,Blue,35,3,3,2,1914.0,0,1914.0,677.0,2687,41,414.0,0.0
4606,719894433,Cancelado,43,F,4,Não informado,Casado,Less than $40K,Blue,24,6,2,3,1679.0,951,728.0,706.0,2492,43,593.0,566.0
4615,778720533,Cancelado,53,F,4,Ensino Superior,Casado,Less than $40K,Blue,37,3,2,3,1722.0,0,1722.0,863.0,2141,35,346.0,0.0
4624,709488108,Cancelado,42,M,4,Ensino Superior Incompleto,Solteiro,$40K - $60K,Blue,36,5,2,3,10543.0,0,10543.0,509.0,1841,39,0.5,0.0
4631,820276908,Cancelado,42,F,4,Ensino Superior Incompleto,Casado,$40K - $60K,Blue,37,3,3,1,4139.0,0,4139.0,547.0,2232,41,464.0,0.0
4640,819647358,Cancelado,38,M,2,Não informado,Solteiro,$60K - $80K,Blue,33,2,3,2,12871.0,0,12871.0,598.0,2413,53,606.0,0.0
4642,789502308,Cancelado,57,F,3,Não informado,Solteiro,Less than $40K,Blue,49,1,3,5,1551.0,790,761.0,811.0,2379,46,769.0,509.0
4648,802834158,Cancelado,42,M,4,Não informado,Casado,$60K - $80K,Blue,36,3,2,2,6743.0,1737,5006.0,598.0,1934,30,579.0,258.0
4649,712038258,Cancelado,48,M,4,Não informado,Solteiro,$80K - $120K,Blue,36,3,3,3,32838.0,1717,31121.0,995.0,2538,42,0.4,52.0
4650,712864683,Cancelado,42,F,3,Doutorado,Solteiro,Less than $40K,Blue,30,2,3,3,1438.3,0,1438.3,373.0,1693,37,423.0,0.0
4654,713886333,Cancelado,47,M,2,Ensino Médio,Casado,$60K - $80K,Blue,39,2,3,1,18660.0,728,17932.0,403.0,1682,43,303.0,39.0
4655,711741708,Cancelado,41,M,3,Post-Ensino Superior,Não informado,$80K - $120K,Blue,33,3,2,3,7591.0,0,7591.0,648.0,2302,42,0.5,0.0
4661,778915233,Cancelado,51,F,0,Ensino Superior,Casado,Less than $40K,Blue,32,4,2,3,1757.0,331,1426.0,879.0,2377,47,516.0,188.0
4666,780146658,Cancelado,40,F,2,Post-Ensino Superior,Casado,$40K - $60K,Blue,25,2,2,4,3795.0,2517,1278.0,563.0,1633,32,778.0,663.0
4668,755467683,Cancelado,48,F,1,Ensino Superior,Solteiro,Less than $40K,Blue,41,6,2,4,3001.0,482,2519.0,814.0,2403,42,615.0,161.0
4676,708804633,Cancelado,44,F,2,Doutorado,Divorciado,Less than $40K,Blue,36,1,2,2,1916.0,0,1916.0,1041.0,2888,39,444.0,0.0
4677,714479358,Cancelado,51,M,3,Ensino Superior,Solteiro,$80K - $120K,Blue,36,6,3,3,3610.0,1554,2056.0,501.0,2216,34,308.0,0.43
4680,769438608,Cancelado,48,F,1,Ensino Superior,Casado,Less than $40K,Blue,42,3,3,2,1942.0,860,1082.0,708.0,2522,42,312.0,443.0
4688,713608383,Cancelado,54,F,1,Não informado,Casado,Less than $40K,Blue,40,1,1,4,1438.3,0,1438.3,0.43,1632,36,0.44,0.0
4693,720867708,Cancelado,45,F,4,Ensino Superior,Não informado,Less than $40K,Blue,33,1,3,2,1748.0,1103,645.0,739.0,2335,41,708.0,631.0
4696,721126833,Cancelado,51,M,2,Ensino Médio,Casado,$80K - $120K,Blue,41,5,2,3,14902.0,0,14902.0,312.0,2038,39,625.0,0.0
4699,712807758,Cancelado,47,F,3,Ensino Superior,Solteiro,Less than $40K,Blue,39,3,3,3,1438.3,0,1438.3,502.0,2476,32,778.0,0.0
4701,824140908,Cancelado,52,M,3,Sem ensino formal,Solteiro,$120K +,Blue,48,5,3,4,20974.0,0,20974.0,0.0,1246,27,0.0,0.0
4705,720444408,Cancelado,35,F,1,Ensino Superior Incompleto,Solteiro,Less than $40K,Blue,25,2,2,4,2231.0,1791,440.0,0.82,2576,42,0.75,803.0
4711,789358908,Cancelado,53,F,3,Ensino Superior Incompleto,Casado,Less than $40K,Blue,43,3,2,2,3573.0,0,3573.0,842.0,2562,36,0.44,0.0
4718,797491683,Cancelado,45,M,5,Não informado,Casado,$80K - $120K,Silver,39,2,2,3,34516.0,1964,32552.0,624.0,2234,49,361.0,57.0
4730,709170108,Cancelado,60,F,1,Não informado,Solteiro,$40K - $60K,Blue,41,3,2,4,2425.0,0,2425.0,187.0,1522,36,0.2,0.0
4731,716056158,Cancelado,63,M,0,Ensino Superior,Solteiro,$60K - $80K,Blue,51,3,3,3,11619.0,0,11619.0,631.0,2395,49,361.0,0.0
4733,715406658,Cancelado,47,F,1,Não informado,Solteiro,Less than $40K,Blue,37,4,2,1,2173.0,596,1577.0,0.81,2738,45,406.0,274.0
4735,773228133,Cancelado,39,F,2,Ensino Superior,Casado,Less than $40K,Blue,29,3,2,2,1677.0,0,1677.0,869.0,2437,41,708.0,0.0
4740,716625033,Cancelado,32,F,1,Ensino Superior,Solteiro,Less than $40K,Blue,36,3,3,6,2761.0,0,2761.0,1047.0,2753,43,654.0,0.0
4743,716782758,Cancelado,48,M,3,Ensino Superior,Solteiro,$60K - $80K,Blue,42,3,2,4,19075.0,0,19075.0,807.0,2013,32,455.0,0.0
4747,708797583,Cancelado,49,F,4,Não informado,Solteiro,Não informado,Blue,31,6,3,3,2672.0,0,2672.0,1038.0,2576,39,0.5,0.0
4748,708809283,Cancelado,41,F,4,Ensino Superior,Divorciado,$40K - $60K,Blue,33,1,3,1,10360.0,2517,7843.0,632.0,2414,28,273.0,243.0
4754,711100608,Cancelado,55,M,1,Sem ensino formal,Solteiro,$60K - $80K,Blue,48,5,2,2,1723.0,0,1723.0,1038.0,2574,43,0.72,0.0
4762,768624258,Cancelado,55,F,2,Ensino Superior,Solteiro,Less than $40K,Blue,49,2,1,2,1583.0,234,1349.0,639.0,2541,36,385.0,148.0
4772,780126033,Cancelado,50,M,4,Não informado,Casado,$40K - $60K,Blue,35,6,1,5,12914.0,1227,11687.0,392.0,2082,54,459.0,95.0
4774,719174433,Cancelado,36,F,1,Não informado,Solteiro,Less than $40K,Blue,24,2,1,2,1735.0,0,1735.0,0.74,2467,35,346.0,0.0
4782,714346608,Cancelado,51,F,2,Ensino Superior,Solteiro,$40K - $60K,Blue,36,3,1,4,1495.0,0,1495.0,528.0,2220,50,562.0,0.0
4788,798481383,Cancelado,40,F,3,Sem ensino formal,Casado,Less than $40K,Blue,34,5,1,2,2694.0,0,2694.0,872.0,2684,38,0.31,0.0
4791,823904133,Cancelado,53,F,2,Ensino Superior Incompleto,Solteiro,Não informado,Blue,49,2,2,4,10195.0,0,10195.0,629.0,2489,54,385.0,0.0
4795,711646908,Cancelado,39,M,3,Não informado,Solteiro,$60K - $80K,Blue,23,1,2,3,7821.0,2517,5304.0,408.0,2010,43,344.0,322.0
4796,718171308,Cancelado,44,F,3,Ensino Superior,Casado,Less than $40K,Blue,36,6,3,4,1984.0,0,1984.0,0.89,2506,46,643.0,0.0
4802,770024733,Cancelado,53,F,2,Sem ensino formal,Solteiro,$40K - $60K,Blue,47,1,2,3,1699.0,0,1699.0,602.0,2520,49,531.0,0.0
4805,708702258,Cancelado,40,F,3,Sem ensino formal,Solteiro,Não informado,Blue,36,3,2,2,3698.0,478,3220.0,611.0,2051,31,632.0,129.0
4811,720519333,Cancelado,59,F,2,Não informado,Solteiro,Não informado,Blue,45,1,3,3,2721.0,1885,836.0,853.0,2594,48,455.0,693.0
4815,717001908,Cancelado,41,F,5,Ensino Superior,Casado,Less than $40K,Blue,28,6,2,2,6936.0,0,6936.0,883.0,2874,44,0.63,0.0
4821,719564208,Cancelado,46,F,1,Sem ensino formal,Solteiro,$40K - $60K,Blue,30,3,2,1,7195.0,0,7195.0,1035.0,2751,47,1136.0,0.0
4824,713229633,Cancelado,45,F,0,Não informado,Casado,$40K - $60K,Blue,30,3,2,4,2759.0,0,2759.0,535.0,2061,47,424.0,0.0
4830,798041508,Cancelado,50,F,4,Ensino Superior,Solteiro,Less than $40K,Blue,44,2,3,2,3201.0,2517,684.0,445.0,1880,42,355.0,786.0
4838,715014633,Cancelado,32,F,0,Sem ensino formal,Casado,Não informado,Blue,36,6,3,2,8791.0,0,8791.0,894.0,2579,51,594.0,0.0
4839,714372333,Cancelado,59,F,0,Doutorado,Casado,Less than $40K,Blue,52,6,4,2,2302.0,0,2302.0,0.52,2256,40,667.0,0.0
4844,779320008,Cancelado,43,M,3,Ensino Superior Incompleto,Casado,$80K - $120K,Blue,25,3,3,3,2900.0,2517,383.0,719.0,2180,31,409.0,868.0
4850,713153733,Cancelado,49,F,2,Ensino Superior,Não informado,Less than $40K,Blue,29,6,3,3,2520.0,1473,1047.0,515.0,2061,36,241.0,585.0
4851,780201633,Cancelado,41,F,3,Ensino Superior,Solteiro,$40K - $60K,Blue,31,4,3,2,5655.0,1154,4501.0,702.0,2189,51,0.7,204.0
4856,788095158,Cancelado,52,M,3,Sem ensino formal,Casado,$80K - $120K,Blue,44,3,3,3,11606.0,0,11606.0,797.0,2623,39,393.0,0.0
4863,716855058,Cancelado,49,F,4,Ensino Superior,Casado,Less than $40K,Blue,38,5,2,4,1757.0,0,1757.0,0.89,2557,45,406.0,0.0
4866,709500183,Cancelado,46,F,3,Ensino Superior Incompleto,Casado,Less than $40K,Blue,36,2,3,4,1804.0,0,1804.0,537.0,2077,44,419.0,0.0
4869,715445058,Cancelado,49,F,0,Doutorado,Casado,Less than $40K,Blue,40,3,4,4,3547.0,2517,1030.0,805.0,2715,45,731.0,0.71
4872,718524783,Cancelado,40,M,3,Ensino Médio,Não informado,$80K - $120K,Blue,34,1,3,4,29715.0,0,29715.0,399.0,2128,39,345.0,0.0
4878,708117933,Cancelado,44,F,2,Ensino Superior,Divorciado,Less than $40K,Blue,36,3,2,3,1880.0,0,1880.0,519.0,2469,34,417.0,0.0
4886,712777233,Cancelado,65,M,0,Ensino Superior,Solteiro,Não informado,Blue,48,1,4,3,1671.0,0,1671.0,725.0,2701,51,889.0,0.0
4887,712706058,Cancelado,44,F,5,Ensino Superior,Solteiro,Less than $40K,Blue,37,1,2,4,1491.0,0,1491.0,551.0,1970,46,484.0,0.0
4888,720905133,Cancelado,43,M,3,Ensino Superior,Não informado,$80K - $120K,Blue,29,1,2,6,11422.0,1095,10327.0,773.0,2439,45,0.8,96.0
4889,712947333,Cancelado,54,F,4,Não informado,Casado,Less than $40K,Blue,43,3,3,0,5139.0,0,5139.0,0.33,1653,44,692.0,0.0
4898,711871758,Cancelado,30,F,1,Ensino Superior,Casado,Less than $40K,Blue,36,2,2,3,2905.0,2517,388.0,725.0,2487,39,393.0,866.0
4900,719519058,Cancelado,55,F,4,Ensino Médio,Casado,Less than $40K,Blue,36,4,2,3,1477.0,0,1477.0,719.0,2419,49,531.0,0.0
4901,716873733,Cancelado,43,F,4,Post-Ensino Superior,Divorciado,Less than $40K,Blue,30,4,3,3,3556.0,2517,1039.0,651.0,2639,53,0.71,708.0
4916,720206658,Cancelado,40,F,3,Ensino Superior,Casado,Less than $40K,Blue,29,6,2,4,1479.0,458,1021.0,466.0,1811,44,517.0,0.31
4918,713857758,Cancelado,53,F,1,Ensino Superior,Casado,Não informado,Blue,36,6,3,1,5842.0,198,5644.0,396.0,1828,44,517.0,34.0
4921,710674533,Cancelado,46,M,1,Sem ensino formal,Casado,$60K - $80K,Blue,34,3,3,4,15060.0,0,15060.0,545.0,1611,42,0.4,0.0
4926,717448383,Cancelado,41,M,4,Não informado,Solteiro,$80K - $120K,Blue,28,1,2,4,4428.0,0,4428.0,865.0,2331,36,286.0,0.0
4930,716307558,Cancelado,50,F,3,Ensino Médio,Casado,Less than $40K,Blue,40,6,2,4,2897.0,1506,1391.0,618.0,2214,46,484.0,0.52
4941,781320783,Cancelado,47,M,2,Ensino Superior,Divorciado,$80K - $120K,Blue,41,3,2,3,4586.0,0,4586.0,812.0,2529,43,433.0,0.0
4946,714100008,Cancelado,47,F,2,Ensino Superior Incompleto,Casado,Less than $40K,Blue,36,6,2,3,5667.0,2517,3150.0,684.0,2176,38,267.0,444.0
4948,708223383,Cancelado,47,F,3,Ensino Médio,Casado,Não informado,Blue,39,6,3,4,11410.0,979,10431.0,1049.0,2736,38,462.0,86.0
4949,708705783,Cancelado,47,M,3,Doutorado,Casado,$60K - $80K,Blue,36,6,3,1,1584.0,1214,370.0,887.0,2628,41,0.64,766.0
4951,709017258,Cancelado,51,F,2,Não informado,Casado,Less than $40K,Blue,36,1,2,2,2114.0,0,2114.0,875.0,2872,45,0.5,0.0
4952,709161108,Cancelado,44,M,1,Não informado,Solteiro,$60K - $80K,Blue,33,3,2,4,2540.0,0,2540.0,212.0,1531,31,107.0,0.0
4956,714089658,Cancelado,41,M,2,Ensino Superior,Solteiro,$60K - $80K,Blue,36,3,2,1,2238.0,0,2238.0,452.0,2063,42,0.5,0.0
4957,718863258,Cancelado,54,F,2,Doutorado,Casado,Less than $40K,Blue,41,2,2,3,3881.0,2517,1364.0,815.0,2463,38,407.0,649.0
4965,713283933,Cancelado,42,M,2,Sem ensino formal,Casado,$40K - $60K,Blue,30,1,3,3,3032.0,0,3032.0,429.0,2273,44,517.0,0.0
4966,714915633,Cancelado,42,M,0,Ensino Médio,Solteiro,$60K - $80K,Blue,36,4,3,6,15699.0,0,15699.0,569.0,1793,40,0.6,0.0
4975,712292133,Cancelado,45,F,3,Ensino Superior Incompleto,Casado,Less than $40K,Blue,36,4,2,4,2330.0,2294,36.0,456.0,2107,40,333.0,985.0
4979,712229283,Cancelado,48,F,4,Doutorado,Não informado,Não informado,Blue,24,4,2,3,1438.3,0,1438.3,738.0,2306,46,484.0,0.0
4982,794273283,Cancelado,51,M,3,Sem ensino formal,Solteiro,$80K - $120K,Blue,45,3,3,3,25670.0,0,25670.0,952.0,2709,51,645.0,0.0
4983,788838033,Cancelado,45,M,2,Ensino Superior Incompleto,Solteiro,$60K - $80K,Blue,29,3,2,4,3841.0,0,3841.0,794.0,2832,48,846.0,0.0
4988,789013833,Cancelado,50,M,2,Ensino Médio,Casado,$120K +,Silver,37,5,2,1,34516.0,399,34117.0,726.0,2118,41,519.0,12.0
4992,711918033,Cancelado,37,F,3,Não informado,Casado,Less than $40K,Blue,17,3,1,3,1468.0,1074,394.0,697.0,2050,32,524.0,732.0
4996,714084483,Cancelado,49,F,3,Sem ensino formal,Solteiro,Não informado,Blue,36,4,2,3,3855.0,211,3644.0,485.0,1724,34,308.0,55.0
4997,719495958,Cancelado,42,F,1,Não informado,Casado,Less than $40K,Blue,36,3,3,4,2983.0,0,2983.0,865.0,2509,46,586.0,0.0
